报告：,投放网络
帐户：,Baidu-大皇帝1-8141563
日期范围：,2015-01-19-2015-01-19
所属层级：,

网站,推广计划,推广组,推广组状态,所属一级行业,所属二级行业,出价(元),展现次数,展现独立访客,展现频次,点击次数,点击独立访客,点击率,独立访客点击率,平均点击价格(元),平均独立访客点击价格(元),千次展现成本(元),总费用(元),到达率,二跳率,停留时间,直接转化,间接转化
jun4.com,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,政史军事,1.8,5,0,-,1,0,20%,-,1.8,-,360,1.8,0%,-,,0,0
sanwen8.com,黑人打江山,黑人打江山-直投,有效,小说,文化文学,1.0,344,0,-,1,0,0.2907%,-,1,-,2.91,1.0,0%,-,,0,0
xyyao.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,552,0,-,1,0,0.1812%,-,1.8,-,3.26,1.8,0%,-,,0,0
juyit.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,2378,0,-,1,0,0.0421%,-,0.76,-,0.32,0.76,0%,-,,0,0
tszww.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,3429,0,-,2,0,0.0583%,-,1,-,0.58,2.0,0%,-,,0,0
eb80.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,24,0,-,1,0,4.1667%,-,1.79,-,74.58,1.79,0%,-,,0,0
halidown.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件下载,1.8,386,0,-,1,0,0.2591%,-,1.8,-,4.66,1.8,0%,-,,0,0
anqu.com,武将貂蝉,武将貂蝉-三国词,有效,数码及手机,手机资源及下载,1.5,184,0,-,2,0,1.087%,-,0.91,-,9.89,1.82,0%,-,,0,0
hugao8.com,3D领取吕布,3D领取吕布-三国词,有效,休闲娱乐,笑话,1.8,60,0,-,1,0,1.6667%,-,1.78,-,29.67,1.78,0%,-,,0,0
e3ol.com,新三国解密,新三国解密-三国词,有效,游戏,网络游戏,1.0,724,0,-,1,0,0.1381%,-,0.71,-,0.98,0.71,0%,-,,0,0
5jjxw.com,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,电子五金,1.8,28799,0,-,23,0,0.0799%,-,1.76,-,1.41,40.56,13.0435%,0%,00:01:10,0,0
didown.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件下载,1.8,56,0,-,1,0,1.7857%,-,1.7,-,30.36,1.7,0%,-,,0,0
freexs.cn,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,2985,0,-,4,0,0.134%,-,0.8,-,1.08,3.21,0%,-,,0,0
southmoney.com,黑人打江山,黑人打江山-三国词,有效,投资金融,财经资讯,1.8,271,0,-,1,0,0.369%,-,1.8,-,6.64,1.8,0%,-,,0,0
7tzw.la,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,326,0,-,1,0,0.3067%,-,1.8,-,5.52,1.8,0%,-,,0,0
66135.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,政史军事,0.8,312,0,-,1,0,0.3205%,-,0.67,-,2.15,0.67,0%,-,,0,0
xiaopena.com,武将貂蝉,武将貂蝉-三国词,有效,休闲娱乐,笑话,1.5,3501,0,-,8,0,0.2285%,-,0.99,-,2.27,7.94,0%,-,,0,0
ilishi.com,新三国解密,新三国解密-三国词,有效,新闻媒体,政史军事,1.0,625,0,-,1,0,0.16%,-,1,-,1.6,1.0,0%,-,,0,0
37226.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,56,0,-,1,0,1.7857%,-,1.5,-,26.79,1.5,0%,-,,0,0
2cto.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,464,0,-,4,0,0.8621%,-,1.67,-,14.42,6.69,0%,-,,0,0
paipaitxt.com,酋长玩三国,酋长玩三国-三国词,有效,小说,电子书,2.0,612,0,-,1,0,0.1634%,-,2,-,3.27,2.0,0%,-,,0,0
freexs.cn,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,5377,0,-,4,0,0.0744%,-,1.68,-,1.25,6.71,25%,0%,00:00:10,0,0
baofeng.com,武将貂蝉,武将貂蝉-三国词,有效,音乐影视,宽带电影,1.5,2007,0,-,8,0,0.3986%,-,0.97,-,3.88,7.79,0%,-,,0,0
383521.com,武将貂蝉,武将貂蝉-三国词,有效,小说,小说阅读,1.5,23,0,-,1,0,4.3478%,-,1,-,43.48,1.0,0%,-,,0,0
juji123.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,654,0,-,2,0,0.3058%,-,1.8,-,5.5,3.6,0%,-,,0,0
gxdxw.cn,新三国解密,新三国解密-三国词,有效,休闲娱乐,笑话,1.3,34,0,-,1,0,2.9412%,-,1.3,-,38.24,1.3,0%,-,,0,0
rayfile.com,黑人打江山,黑人打江山-三国词,有效,网络服务应用,网盘,1.7,949,0,-,1,0,0.1054%,-,1.65,-,1.74,1.65,0%,-,,0,0
yslang.com,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,宽带电影,1.8,42,0,-,1,0,2.381%,-,1.8,-,42.86,1.8,0%,-,,0,0
19lou.com,囧叔说三国,囧叔说三国-三国词,有效,社交网络和在线社区,综合论坛,1.8,718,0,-,1,0,0.1393%,-,1.8,-,2.51,1.8,0%,-,,0,0
88mh.com,酋长玩三国,酋长玩三国-三国词,有效,休闲娱乐,动漫,1.5,1085,0,-,1,0,0.0922%,-,1.44,-,1.33,1.44,0%,-,,0,0
5p44.com,新三国解密,新三国解密-三国词,有效,网络服务应用,搜索查询,1.8,125,0,-,1,0,0.8%,-,1.8,-,14.4,1.8,0%,-,,0,0
yxbao.com,3D领取吕布,3D领取吕布-三国词,有效,游戏,单机游戏,0.6,515,0,-,6,0,1.165%,-,0.59,-,6.87,3.54,0%,-,,0,0
123cha.com,新三国解密,新三国解密-三国词,有效,网络服务应用,搜索查询,1.8,1008,0,-,1,0,0.0992%,-,1.58,-,1.57,1.58,0%,-,,0,0
9yaocn.com,武将貂蝉,武将貂蝉-三国词,有效,休闲娱乐,笑话,1.5,1206,0,-,2,0,0.1658%,-,1,-,1.66,2.0,0%,-,,0,0
8miu.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,电脑产品,1.8,3,0,-,1,0,33.3333%,-,1.79,-,596.67,1.79,0%,-,,0,0
189.cn,新三国解密,新三国解密-三国词,有效,数码及手机,数字家电,1.8,85,0,-,1,0,1.1765%,-,1.72,-,20.24,1.72,0%,-,,0,0
ttll.cc,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,85,0,-,1,0,1.1765%,-,1.8,-,21.18,1.8,0%,-,,0,0
oibale.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,71,0,-,1,0,1.4085%,-,1.8,-,25.35,1.8,0%,-,,0,0
92ks.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,893,0,-,1,0,0.112%,-,1.75,-,1.96,1.75,0%,-,,0,0
360yunpan.me,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,55,0,-,1,0,1.8182%,-,1.8,-,32.73,1.8,0%,-,,0,0
nuxue.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,政史军事,0.8,1996,0,-,3,0,0.1503%,-,0.78,-,1.17,2.34,0%,-,,0,0
83133.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,政史军事,1.6,495,0,-,1,0,0.202%,-,0.81,-,1.64,0.81,0%,-,,0,0
milchina.com,新三国解密,新三国解密-三国词,有效,新闻媒体,政史军事,1.0,228,0,-,2,0,0.8772%,-,1,-,8.77,2.0,0%,-,,0,0
chengyugushi.net,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,6,0,-,1,0,16.6667%,-,1.8,-,300,1.8,0%,-,,0,0
tmetb.com,武将貂蝉,武将貂蝉-三国词,有效,小说,电子书,1.5,1591,0,-,2,0,0.1257%,-,1,-,1.26,2.0,0%,-,,0,0
zhijiandoukou.com,武将貂蝉,武将貂蝉-三国词,有效,小说,文化文学,1.5,18,0,-,2,0,11.1111%,-,0.97,-,107.78,1.94,0%,-,,0,0
zhaodanji.com,3D领取吕布,3D领取吕布-三国词,有效,游戏,单机游戏,0.6,14,0,-,1,0,7.1429%,-,0.58,-,41.43,0.58,0%,-,,0,0
qq717.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,1836,0,-,2,0,0.1089%,-,1,-,1.09,2.0,0%,-,,0,0
774buy.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,3259,0,-,2,0,0.0614%,-,1,-,0.61,2.0,0%,-,,0,0
zhifujing.org,新三国解密,新三国解密-三国词,有效,垂直行业,农林牧渔,1.8,27,0,-,1,0,3.7037%,-,1.8,-,66.67,1.8,0%,-,,0,0
xs74.com,武将貂蝉,武将貂蝉-三国词,有效,小说,小说阅读,1.5,949,0,-,1,0,0.1054%,-,1,-,1.05,1.0,0%,-,,0,0
onegreen.net,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件下载,1.8,580,0,-,1,0,0.1724%,-,1.61,-,2.78,1.61,0%,-,,0,0
nqboshang.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,政史军事,0.8,91,0,-,1,0,1.0989%,-,0.8,-,8.79,0.8,0%,-,,0,0
0471xinxi.com,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,地方媒体,1.8,1,0,-,1,0,100%,-,1.8,-,1800,1.8,0%,-,,0,0
