报告：,投放网络
帐户：,Baidu-大皇帝1-8141563
日期范围：,2015-01-19-2015-01-19
所属层级：,

网站,推广计划,推广组,推广组状态,所属一级行业,所属二级行业,出价(元),展现次数,展现独立访客,展现频次,点击次数,点击独立访客,点击率,独立访客点击率,平均点击价格(元),平均独立访客点击价格(元),千次展现成本(元),总费用(元),到达率,二跳率,停留时间,直接转化,间接转化
tom365.com,酋长玩三国,酋长玩三国-三国词,有效,音乐影视,宽带电影,1.8,12,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
hdlogo.com,新三国解密,新三国解密-三国词,有效,网络服务应用,源码下载,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
01faxing.com,新三国解密,新三国解密-三国词,有效,音乐影视,娱乐综合,1.8,26,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
k8cp.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
indiacn.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,综合门户,1.6,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
meyet.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,196,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jingdianju.com,酋长玩三国,酋长玩三国-三国词,有效,小说,文化文学,2.0,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zhaozi.cn,囧叔说三国,囧叔说三国-三国词,有效,计算机软件硬件,软件下载,1.8,10,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jinbang.org,酋长玩三国,酋长玩三国-三国词,有效,小说,小说阅读,2.0,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
bzsbz.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wenshuan.com,新三国解密,新三国解密-三国词,有效,数码及手机,手机资源及下载,1.8,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
chinamac.com,囧叔说三国,囧叔说三国-三国词,有效,数码及手机,手机资源及下载,1.8,32,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
52xiaohuahui.com,3D领取吕布,3D领取吕布-三国词,有效,休闲娱乐,笑话,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
maopidongwu.com,新三国解密,新三国解密-三国词,有效,垂直行业,农林牧渔,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xohmtv.cn,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,综合门户,1.8,93,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
2danji.com,囧叔说三国,囧叔说三国-三国词,有效,游戏,综合游戏,1.8,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
52xiazai.net,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件下载,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
51zbz.net,新三国解密,新三国解密-三国词,有效,垂直行业,法律法规,1.8,25,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
hzbuganjiao.cn,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mydzbbs.com,黑人打江山,黑人打江山-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tykk520.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件下载,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kooaoo.com,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,地方媒体,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
huxu8.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,垂直论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
uutor.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,宽带电影,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
gengku123.com,黑人打江山,黑人打江山-三国词,有效,小说,文化文学,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mobanwang.com,黑人打江山,黑人打江山-直投,有效,网络服务应用,源码下载,0.6,15,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qsyk123.com,新三国解密,新三国解密-三国词,有效,休闲娱乐,笑话,1.3,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
phpsay.com,新三国解密,新三国解密-三国词,有效,网络服务应用,技术论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zhaokuaidi.org,新三国解密,新三国解密-三国词,有效,网络服务应用,搜索查询,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fuheishu.com,3D领取吕布,3D领取吕布-三国词,有效,小说,小说阅读,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sqyxqc.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,地方媒体,1.6,7,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
gm0757.com,黑人打江山,黑人打江山-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
gaoqingdiguo.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,7,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lnnoo.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,娱乐综合,1.7,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kaixian.tv,囧叔说三国,囧叔说三国-三国词,有效,新闻媒体,地方媒体,1.7,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
windows7ch.cn,黑人打江山,黑人打江山-三国词,有效,计算机软件硬件,软件交流,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
7zhao.net,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
22mt.in,3D领取吕布,3D领取吕布-三国词,有效,小说,小说阅读,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ic98.com,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,商务贸易,1.8,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
gy99.org,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,娱乐综合,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
youxi.im,囧叔说三国,囧叔说三国-三国词,有效,游戏,综合游戏,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
taizibao.com,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,商务贸易,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ymoxuan.com,黑人打江山,黑人打江山-三国词,有效,小说,电子书,1.8,133,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sportscn.com,囧叔说三国,囧叔说三国-三国词,有效,体育运动,体育综合,2.0,19,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lwlm.com,黑人打江山,黑人打江山-三国词,有效,小说,文化文学,1.8,12,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ppzhibo.com,黑人打江山,黑人打江山-直投,有效,体育运动,体育综合,1.0,7,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
9upk.com,黑人打江山,黑人打江山-直投,有效,计算机软件硬件,软件下载,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
stnn.cc,黑人打江山,黑人打江山-三国词,有效,新闻媒体,综合门户,1.6,17,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
munglan.cn,酋长玩三国,酋长玩三国-三国词,有效,小说,小说阅读,2.0,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sportsafe.cn,黑人打江山,黑人打江山-三国词,有效,体育运动,体育综合,2.0,34,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xiaoshuotxt.com,黑人打江山,黑人打江山-三国词,有效,小说,电子书,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
52xiaohuahui.com,新三国解密,新三国解密-三国词,有效,休闲娱乐,笑话,1.3,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
12349.net,囧叔说三国,囧叔说三国-三国词,有效,游戏,网络游戏,1.8,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yaku.tv,黑人打江山,黑人打江山-直投,有效,音乐影视,娱乐综合,0.6,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
huran.net,黑人打江山,黑人打江山-直投,有效,小说,文化文学,1.0,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
diqiuw.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kb.cc,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,宽带电影,1.8,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
topzj.com,囧叔说三国,囧叔说三国-三国词,有效,游戏,综合游戏,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ubooo.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cutv.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,广播/电视,1.6,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
8090tn.com,3D领取吕布,3D领取吕布-三国词,有效,社交网络和在线社区,综合论坛,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
desteps.com,黑人打江山,黑人打江山-直投,有效,网络服务应用,技术论坛,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
doupocangqiong.org,3D领取吕布,3D领取吕布-三国词,有效,小说,小说阅读,1.8,12,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
sanjiaoli.com,3D领取吕布,3D领取吕布-三国词,有效,网络服务应用,源码下载,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fzithome.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,硬件资讯,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wzmulu.com,3D领取吕布,3D领取吕布-三国词,有效,网络服务应用,搜索查询,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ymotel.cn,新三国解密,新三国解密-三国词,有效,网络服务应用,搜索查询,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
moedao.com,武将貂蝉,武将貂蝉-三国词,有效,休闲娱乐,动漫,1.5,328,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
55885.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cdfds.com,黑人打江山,黑人打江山-直投,有效,小说,文化文学,1.0,14,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
gxdxw.cn,黑人打江山,黑人打江山-三国词,有效,休闲娱乐,笑话,1.7,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mrzjsw.com,黑人打江山,黑人打江山-直投,有效,小说,文化文学,1.0,10,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
53shop.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xintangit.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,7,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jlgcyy.com,酋长玩三国,酋长玩三国-三国词,有效,小说,小说阅读,2.0,93,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qhtv.cn,武将貂蝉,武将貂蝉-三国词,有效,新闻媒体,广播/电视,1.5,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
shuo6.com,黑人打江山,黑人打江山-直投,有效,社交网络和在线社区,综合论坛,0.6,14,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qixiwl.com,新三国解密,新三国解密-三国词,有效,网络服务应用,源码下载,1.8,9,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
uusee.com,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,娱乐综合,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mcxb.com,囧叔说三国,囧叔说三国-三国词,有效,计算机软件硬件,硬件资讯,1.8,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
bofangla.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,24,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
akrb.cn,武将貂蝉,武将貂蝉-三国词,有效,新闻媒体,地方媒体,1.5,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ypgouwu.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yangji.com,新三国解密,新三国解密-三国词,有效,垂直行业,农林牧渔,1.8,23,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ccav1.com,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件下载,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
weixiuw.com,新三国解密,新三国解密-三国词,有效,垂直行业,法律法规,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
mihua.net,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,504,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
96516.cn,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,12,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
aiqude.com,武将貂蝉,武将貂蝉-三国词,有效,休闲娱乐,动漫,1.5,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
nongshanghang.cn,囧叔说三国,囧叔说三国-三国词,有效,投资金融,财经资讯,1.8,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
shangwuwang.com,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,商务贸易,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jmqd.com,囧叔说三国,囧叔说三国-三国词,有效,游戏,综合游戏,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cbinews.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,媒体报刊,1.6,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
letvwangpan.com,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yumen88.com,黑人打江山,黑人打江山-三国词,有效,休闲娱乐,笑话,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
newsmth.net,武将貂蝉,武将貂蝉-三国词,有效,社交网络和在线社区,SNS,1.5,62,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
modchina.com,黑人打江山,黑人打江山-直投,有效,游戏,综合游戏,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
2kzj.com,黑人打江山,黑人打江山-三国词,有效,体育运动,篮球NBA,2.0,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ffcp.cn,黑人打江山,黑人打江山-三国词,有效,投资金融,博彩/彩票,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
diaoyubo.com,黑人打江山,黑人打江山-三国词,有效,体育运动,体育综合,2.0,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fx2me.com,黑人打江山,黑人打江山-直投,有效,游戏,综合游戏,0.6,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zhuzhu123.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,25,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
imanke.com,黑人打江山,黑人打江山-直投,有效,休闲娱乐,动漫,0.6,100,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jsnovel.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,114,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
quanshu.net,武将貂蝉,武将貂蝉-三国词,有效,小说,文化文学,1.5,31,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
imstu.org.cn,囧叔说三国,囧叔说三国-三国词,有效,新闻媒体,地方媒体,1.7,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ting95.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,38,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
daomuxiaoshuo.com,新三国解密,新三国解密-三国词,有效,小说,电子书,1.8,12,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
35xs.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,34,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ynshangji.com,新三国解密,新三国解密-三国词,有效,垂直行业,商务贸易,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
glgoo.com,黑人打江山,黑人打江山-三国词,有效,网络服务应用,搜索查询,1.7,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kukuzhibo.com,黑人打江山,黑人打江山-三国词,有效,音乐影视,网络电视,1.8,7,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
rszhw.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wowant.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,综合门户,1.6,7,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
v2gg.com,囧叔说三国,囧叔说三国-三国词,有效,社交网络和在线社区,交友和婚恋,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
166sk.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,48,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xpgod.com,武将貂蝉,武将貂蝉-三国词,有效,计算机软件硬件,软件下载,1.5,49,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lzep.cn,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
hiibt.com,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,娱乐综合,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
538538.com,囧叔说三国,囧叔说三国-三国词,有效,投资金融,股票基金,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yuyangushi.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,10,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kan2008.com,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,娱乐综合,1.8,82,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wsxs.net,酋长玩三国,酋长玩三国-三国词,有效,小说,小说阅读,2.0,29,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wcxiaoshuo.com,武将貂蝉,武将貂蝉-三国词,有效,小说,小说阅读,1.5,346,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
guikel.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
xiaogushi.cc,黑人打江山,黑人打江山-直投,有效,小说,文化文学,1.0,419,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tumao.com.cn,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,垂直论坛,1.8,7,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
coodoor.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件交流,1.8,10,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
niurenqushi.com,新三国解密,新三国解密-三国词,有效,休闲娱乐,笑话,1.3,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ningos.com,新三国解密,新三国解密-三国词,有效,计算机软件硬件,软件下载,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
17yue.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
piaotian.cc,囧叔说三国,囧叔说三国-三国词,有效,小说,小说阅读,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jinbang.org,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,19,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fensui168.com,囧叔说三国,囧叔说三国-三国词,有效,网络服务应用,搜索查询,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
fridaypool.com,黑人打江山,黑人打江山-三国词,有效,体育运动,体育综合,2.0,8,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yueduku.com,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,13,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
qntz.cc,黑人打江山,黑人打江山-三国词,有效,休闲娱乐,笑话,1.7,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
91jucai.com,黑人打江山,黑人打江山-直投,有效,投资金融,财经资讯,0.6,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
bmfw365.com,新三国解密,新三国解密-三国词,有效,网址导航,,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
830yy.com,酋长玩三国,酋长玩三国-三国词,有效,音乐影视,宽带电影,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
my285.com,囧叔说三国,囧叔说三国-三国词,有效,小说,小说阅读,1.8,138,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
etjy.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,垂直论坛,1.8,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yidemi.com,3D领取吕布,3D领取吕布-三国词,有效,新闻媒体,综合门户,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lucky8k.com,新三国解密,新三国解密-三国词,有效,社交网络和在线社区,垂直论坛,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wenxuefan.com,新三国解密,新三国解密-三国词,有效,小说,文化文学,1.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
moejam.com,黑人打江山,黑人打江山-直投,有效,休闲娱乐,动漫,0.6,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
uukanshu.com,3D领取吕布,3D领取吕布-三国词,有效,小说,小说阅读,1.8,402,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tt27.tv,黑人打江山,黑人打江山-直投,有效,音乐影视,宽带电影,0.6,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
lanrents.com,黑人打江山,黑人打江山-三国词,有效,小说,小说阅读,1.8,12,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
rsdown.cn,3D领取吕布,3D领取吕布-三国词,有效,计算机软件硬件,软件下载,1.8,48,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jichuang.net,新三国解密,新三国解密-三国词,有效,垂直行业,重工/机械,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tingshulou.com,酋长玩三国,酋长玩三国-三国词,有效,小说,小说阅读,2.0,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
35xs.com,新三国解密,新三国解密-三国词,有效,小说,小说阅读,1.8,67,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
yuji123.com,新三国解密,新三国解密-三国词,有效,音乐影视,娱乐综合,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
zhiyin.cn,黑人打江山,黑人打江山-直投,有效,新闻媒体,综合门户,0.8,6,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
bjlvse.com,黑人打江山,黑人打江山-直投,有效,音乐影视,宽带电影,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
gz007.net,3D领取吕布,3D领取吕布-三国词,有效,网址导航,,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kemayixian.com,3D领取吕布,3D领取吕布-三国词,有效,数码及手机,数码及手机资讯,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
meike-shoes.com,囧叔说三国,囧叔说三国-三国词,有效,小说,小说阅读,1.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
52samsung.com,黑人打江山,黑人打江山-直投,有效,数码及手机,手机资源及下载,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
b2beer.com,3D领取吕布,3D领取吕布-三国词,有效,垂直行业,商务贸易,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
tiantianrss.com,新三国解密,新三国解密-三国词,有效,小说,电子书,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
wangbady.com,新三国解密,新三国解密-三国词,有效,音乐影视,宽带电影,1.8,41,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
5xs.net,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,5,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
k50.cn,黑人打江山,黑人打江山-三国词,有效,音乐影视,宽带电影,1.8,11,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
jjzhai.com,黑人打江山,黑人打江山-直投,有效,社交网络和在线社区,综合论坛,0.6,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
cankaoxiaoxi.com,武将貂蝉,武将貂蝉-三国词,有效,新闻媒体,综合门户,1.5,100,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
motorfans.com.cn,黑人打江山,黑人打江山-三国词,有效,社交网络和在线社区,垂直论坛,1.8,21,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
csmayi.cn,3D领取吕布,3D领取吕布-三国词,有效,小说,文化文学,1.8,11,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dianxinkan.com,3D领取吕布,3D领取吕布-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
kuaichale.com,囧叔说三国,囧叔说三国-三国词,有效,网络服务应用,搜索查询,1.8,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
msxf.net,黑人打江山,黑人打江山-直投,有效,小说,小说阅读,1.0,57,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
liangjian.com,黑人打江山,黑人打江山-直投,有效,新闻媒体,政史军事,0.8,3,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
guipianwang.com,囧叔说三国,囧叔说三国-三国词,有效,音乐影视,宽带电影,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
gd163.com.cn,囧叔说三国,囧叔说三国-三国词,有效,社交网络和在线社区,综合论坛,1.8,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
ttline.cn,黑人打江山,黑人打江山-直投,有效,体育运动,体育综合,1.0,1,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
narutom.com,新三国解密,新三国解密-三国词,有效,休闲娱乐,动漫,0.8,2,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
dianhen.com,黑人打江山,黑人打江山-三国词,有效,新闻媒体,政史军事,1.6,4,0,-,0,0,-,-,-,-,-,0.0,-,-,,0,0
